Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Factorial Calculator/p_Please enter an integer""), ""Please enter an integer"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:17,2021-03-26 15:43:18,0.442s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - other cases,Chrome 89.0.4389.90,,,2021-03-26 15:43:18,2021-03-26 15:43:26,8.006s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:43:18,2021-03-26 15:43:20,2.347s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:20,2021-03-26 15:43:24,3.775s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:43:24,2021-03-26 15:43:25,0.838s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:43:25,2021-03-26 15:43:25,0.469s,PASSED
"verifyElementText(findTestObject(""Factorial Calculator/p_Please enter an integer""), ""Please enter an integer"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:25,2021-03-26 15:43:26,0.542s,PASSED
,,,,,,,
Test Cases/Factorial Calculator - other cases,Chrome 89.0.4389.90,,,2021-03-26 15:43:26,2021-03-26 15:43:33,7.657s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-26 15:43:26,2021-03-26 15:43:28,2.229s,PASSED
"navigateToUrl(""http://qainterview.pythonanywhere.com/"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:28,2021-03-26 15:43:32,3.729s,PASSED
"setText(findTestObject(""Object Repository/Factorial Calculator/input_The greatest factorial calculator_number""), data)",Chrome 89.0.4389.90,,,2021-03-26 15:43:32,2021-03-26 15:43:33,0.765s,PASSED
"click(findTestObject(""Object Repository/Factorial Calculator/button_Calculate""))",Chrome 89.0.4389.90,,,2021-03-26 15:43:33,2021-03-26 15:43:33,0.483s,PASSED
"verifyElementText(findTestObject(""Factorial Calculator/p_Please enter an integer""), ""Please enter an integer"")",Chrome 89.0.4389.90,,,2021-03-26 15:43:33,2021-03-26 15:43:33,0.442s,PASSED
